"","creative_properties","n"
"155","web_view_url:https://kamalaharris.com/meet-kamala-harris?utm_medium=ads&utm_source=Snapchat&utm_content=Determination.60s&utm_campaign=August",22
"156","web_view_url:https://kamalaharris.com/meet-kamala-harris?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-BisonInTheWH.63s&utm_campaign=August",56
"157","web_view_url:https://kamalaharris.com/meet-kamala-harris?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-SpeechEcon.30s&utm_campaign=August",32
"158","web_view_url:https://kamalaharris.com/meet-kamala-harris?utm_medium=ads&utm_source=Snapchat&utm_content=IApproveThisMessage.17s&utm_campaign=August",14
"159","web_view_url:https://kamalaharris.com/meet-kamala-harris?utm_medium=ads&utm_source=Snapchat&utm_content=MyMother.30s&utm_campaign=September",7
"160","web_view_url:https://kamalaharris.com/meet-kamala-harris?utm_medium=ads&utm_source=Snapchat&utm_content=Reduced.15s&utm_campaign=August",14
"161","web_view_url:https://kamalaharris.com/meet-kamala-harris?utm_medium=ads&utm_source=Snapchat&utm_content=VotingForEveryone.72s&utm_campaign=August",14
"162","web_view_url:https://kamalaharris.com/project2025/?utm_medium=ads&utm_source=Snapchat&utm_content=Backwards.30s&utm_campaign=September",10
"163","web_view_url:https://kamalaharris.com/project2025/?utm_medium=ads&utm_source=Snapchat&utm_content=CanYouBelieveTheyPutItInWriting.30s&utm_campaign=September",30
"164","web_view_url:https://kamalaharris.com/project2025/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-CSDebate.25s&utm_campaign=Debate1",15
"165","web_view_url:https://kamalaharris.com/project2025/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-FNDebate.26s&utm_campaign=Debate1",15
"166","web_view_url:https://kamalaharris.com/project2025/?utm_medium=ads&utm_source=Snapchat&utm_content=Retribution.30s&utm_campaign=September",30
"167","web_view_url:https://kamalaharris.com/project2025/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=A-P",35
"168","web_view_url:https://kamalaharris.com/project2025/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=B-C",36
"169","web_view_url:https://kamalaharris.com/project2025/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=GM-P",150
"170","web_view_url:https://kamalaharris.com/project2025/?utm_medium=ads&utm_source=Snapchat&utm_content=Stories&utm_campaign=GM-RV",9
"171","web_view_url:https://kamalaharris.com/project2025/?utm_medium=ads&utm_source=Snapchat&utm_content=TheOne.48s&utm_campaign=September",10
"172","web_view_url:https://kamalaharris.com/project2025/?utm_medium=ads&utm_source=Snapchat&utm_content=TheOne.5s&utm_campaign=September",10
"173","web_view_url:https://kamalaharris.com/welcome-back-to-campus/?utm_medium=ads&utm_source=Snapchat&utm_content=Commercial-FreedomRedux.8s&utm_campaign=August",1
"174","web_view_url:https://kamalaharris.com/welcome-back-to-campus/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-BackToSchoolDTC.49s&utm_campaign=August",17
"175","web_view_url:https://kamalaharris.com/welcome-back-to-campus/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Chronic.53s&utm_campaign=September",18
"176","web_view_url:https://kamalaharris.com/welcome-back-to-campus/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-CollegeAgeHealthcare.71s&utm_campaign=September",17
"177","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Believe.30s&utm_campaign=August",32
"178","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-CNNClip.47s&utm_campaign=August",32
"179","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-ChangetheChannel.6s&utm_campaign=August",26
"180","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Convicted.6s&utm_campaign=August",26
"181","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-ExposingVance.6s&utm_campaign=August",32
"182","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Fearless.30s&utm_campaign=August",32
"183","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Fearless.60s&utm_campaign=August",32
"184","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-FelonvProsecutor.6s&utm_campaign=August",32
"185","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Freedom.30s&utm_campaign=August",32
"186","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Freedom.79s&utm_campaign=August",32
"187","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-GetAhead.15s&utm_campaign=August",32
"188","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Guilty.15s&utm_campaign=August",32
"189","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-OTC.30s&utm_campaign=August",32
"190","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-OutForHimself.12s&utm_campaign=August",31
"191","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Punish.6s&utm_campaign=August",26
"192","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-Ready.47s&utm_campaign=August",32
"193","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-SignIntoLaw.30s&utm_campaign=August",26
"194","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-TenToesDown.36s&utm_campaign=August",32
"195","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-WomensRights.30s&utm_campaign=August",32
"196","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-WontStop.6s&utm_campaign=August",26
"197","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=Never.30s&utm_campaign=August",24
"198","web_view_url:https://kamalaharris.com?utm_medium=ads&utm_source=Snapchat&utm_content=TenToesDown.36s&utm_campaign=August",24
"199","web_view_url:https://www.cnn.com/2024/07/17/politics/kfile-jd-vance-abortion-comments/index.html",32
"200","web_view_url:https://www.thecut.com/article/project-2025-trump-second-term-plans.html",30
"201",NA,529
