"","creative_properties","n"
"33","web_view_url:https://iwillvote.com/?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-MOT-ZIPs-Ad1050",2
"34","web_view_url:https://iwillvote.com/?state=WI&utm_source=HFP&utm_campaign=HFP-DCS-MOT-2024&utm_medium=ads&utm_content=Snap-Story-WI-X-MOT-ZIPs-Ad1051",2
"35","web_view_url:https://iwillvote.com/Locate?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-VBMC-1P-Ad1009",2
"36","web_view_url:https://iwillvote.com/Locate?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-VBMC-1P-Ad1011",2
"37","web_view_url:https://iwillvote.com/Locate?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-VBMC-1P-Ad1012",2
"38","web_view_url:https://iwillvote.com/Locate?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-VBMC-1P-Ad1014",2
"39","web_view_url:https://iwillvote.com/Locate?state=AZ&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-AZ-X-VBMC-1P-Ad1105",2
"40","web_view_url:https://iwillvote.com/Locate?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-VBMC-1P-Ad1009",2
"41","web_view_url:https://iwillvote.com/Locate?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-VBMC-1P-Ad1011",2
"42","web_view_url:https://iwillvote.com/Locate?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-VBMC-1P-Ad1012",2
"43","web_view_url:https://iwillvote.com/Locate?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-VBMC-1P-Ad1014",2
"44","web_view_url:https://iwillvote.com/Locate?state=GA&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-GA-X-VBMC-1P-Ad1095",2
"45","web_view_url:https://iwillvote.com/Locate?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-VBMC-1P-Ad1009",4
"46","web_view_url:https://iwillvote.com/Locate?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-VBMC-1P-Ad1011",4
"47","web_view_url:https://iwillvote.com/Locate?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-VBMC-1P-Ad1012",4
"48","web_view_url:https://iwillvote.com/Locate?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-VBMC-1P-Ad1014",4
"49","web_view_url:https://iwillvote.com/Locate?state=MI&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-MI-X-VBMC-1P-Ad1034",4
"50","web_view_url:https://iwillvote.com/Locate?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-VBMC-1P-Ad1009",1
"51","web_view_url:https://iwillvote.com/Locate?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-VBMC-1P-Ad1011",1
"52","web_view_url:https://iwillvote.com/Locate?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-VBMC-1P-Ad1012",1
"53","web_view_url:https://iwillvote.com/Locate?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-VBMC-1P-Ad1014",1
"54","web_view_url:https://iwillvote.com/Locate?state=NE&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-NE-X-VBMC-1P-Ad1043",1
"55","web_view_url:https://iwillvote.com/Locate?state=NV&utm_source=HFP&utm_campaign=HFP-DCS-VBMC-2024&utm_medium=ads&utm_content=Snap-Story-NV-X-VBMC-1P-Ad1009",4
